id,90dayPrice,cashandcashequivalents,cashfromfinancingactivities,cashfrominvestingactivities,cashfromoperatingactivities,costofrevenue,ebit,grossprofit,incomebeforetaxes,interestexpense,netincome,propertyplantequipmentnet,sellinggeneraladministrativeexpenses,totalassets,totalcurrentassets,totalliabilities,totalcurrentliabilities,totallongtermdebt,totalreceivablesnet,totalrevenue,totalshorttermdebt,totalstockholdersequity
ACXM2017q1,0.0,-0.20800000000000002,0.402,-0.207,-0.983,-0.006999999999999999,-2.051,-0.09,-1.675,-0.036000000000000004,-3.531,-0.021,-0.201,-0.057,-0.14800000000000002,-0.23,-0.135,-0.049,-0.08900000000000001,-0.044000000000000004,0.001,-0.006999999999999999
ACXM2017q2,1.0,0.168,-0.469,-1.204,5.0,-0.022000000000000002,-0.128,0.055999999999999994,-0.215,-0.068,0.7959999999999999,-0.024,0.09,0.017,0.106,0.066,0.011000000000000001,-0.052000000000000005,0.004,0.011000000000000001,0.001,0.02
ACXM2017q3,0.0,-0.214,-5.0,-5.0,0.379,-0.03,0.28,0.1,0.418,0.032,-0.85,-0.005,0.055999999999999994,0.098,-0.085,0.16399999999999998,0.23399999999999999,0.41100000000000003,0.016,0.027999999999999997,0.11699999999999999,0.022000000000000002
ADM2016q3,0.0,1.099,-2.929,0.145,-4.893,-0.01,1.369,0.46,0.521,0.2,0.201,0.005,0.079,-0.006,-0.016,-0.076,-0.006,0.18600000000000003,-0.002,0.013000000000000001,-0.738,-0.006999999999999999
ADS2016q3,1.0,0.14,0.8009999999999999,1.334,0.326,0.033,0.313,0.19399999999999998,0.442,0.044000000000000004,0.475,-0.001,-0.044000000000000004,0.038,0.055,-0.004,0.039,0.061,0.04,0.078,-0.245,0.031
AES2016q3,0.0,0.047,-2.569,-0.302,0.133,0.075,0.9490000000000001,0.19899999999999998,-5.0,-0.092,-1.3630000000000002,0.011000000000000001,-0.149,0.004,-0.012,-0.081,-0.0,0.03,-0.003,0.09699999999999999,-0.322,0.042
AGCO2016q3,1.0,-0.083,-3.513,5.0,-1.2209999999999999,-0.102,-0.503,-0.172,-0.48100000000000004,0.017,-0.205,0.024,-0.017,0.075,0.037000000000000005,0.006,0.134,0.361,0.11599999999999999,-0.11699999999999999,0.16899999999999998,-0.008
AGN2016q3,1.0,5.0,2.17,-5.0,-1.81,0.047,-0.45399999999999996,-0.026000000000000002,-0.20800000000000002,-0.062,-5.0,0.006,-0.044000000000000004,0.083,2.623,-0.095,-0.037000000000000005,-0.154,-0.037000000000000005,-0.017,-0.365,0.171
AIT2017q1,1.0,-0.031,-0.32,-0.873,-0.39899999999999997,-0.02,0.018000000000000002,-0.001,0.025,-0.067,0.05,-0.013999999999999999,-0.006999999999999999,-0.01,-0.005,-0.037000000000000005,-0.054000000000000006,-0.071,-0.002,-0.013999999999999999,-0.031,0.034
AIT2017q2,0.0,0.083,-1.122,1.244,-0.909,-0.024,-0.129,-0.033,-0.138,-0.021,-0.12,-0.009000000000000001,-0.002,-0.004,0.006999999999999999,-0.102,-0.01,0.073,-0.03,-0.027000000000000003,0.0,0.001
AKRX2016q3,0.0,0.114,-5.0,0.212,1.198,0.045,-0.06,-0.009000000000000001,-0.063,-0.039,-0.22699999999999998,0.10400000000000001,-0.128,0.024,0.085,0.12,0.012,0.002,0.28300000000000003,0.012,0.001,0.040999999999999995
ALB2016q3,1.0,0.20600000000000002,0.183,0.099,1.506,-0.015,0.02,-0.037000000000000005,0.062,0.009000000000000001,-1.4069999999999998,-0.0,0.003,0.009000000000000001,0.02,-0.071,-0.009000000000000001,0.01,0.001,-0.023,-0.188,0.045
ALGT2016q3,1.0,-0.539,-2.4290000000000003,2.123,-0.456,0.053,-0.265,-0.14,-0.276,-0.061,-0.253,0.138,0.106,0.061,-0.081,0.079,0.05,0.02,0.406,-0.033,0.716,0.087
ALK2016q3,1.0,5.0,-5.0,-0.799,-0.179,0.114,-0.043,0.02,-0.043,1.5,-0.015,0.015,0.024,0.237,0.797,0.03,0.324,2.656,-0.087,0.048,1.35,0.09
ALLE2016q3,1.0,0.268,0.04,-0.6970000000000001,-0.243,0.0,-0.023,-0.015,-0.8190000000000001,-0.055,-0.983,-0.003,-0.008,-0.017,-0.031,-0.08,-0.023,-0.006999999999999999,-0.204,-0.006,-0.028999999999999998,0.091
ALR2016q3,0.0,0.11900000000000001,-0.573,-2.524,-0.457,-0.039,-0.848,-0.055999999999999994,0.623,0.043,-1.6230000000000002,0.017,0.002,0.011000000000000001,0.053,0.257,0.006999999999999999,-0.005,0.0,-0.047,-0.043,0.019
ALSN2016q3,1.0,-0.5479999999999999,2.555,-0.11800000000000001,-0.249,-0.075,-0.182,-0.09699999999999999,-0.284,-0.2,-0.266,-0.012,0.027999999999999997,-0.05,-0.261,-0.015,-0.054000000000000006,-0.083,0.013999999999999999,-0.085,-0.514,-0.04
AMCX2016q3,1.0,0.061,0.698,0.672,2.169,0.109,-0.342,-0.22,-0.26,-0.073,-0.153,0.039,-0.23600000000000002,-0.009000000000000001,-0.015,-0.017,-0.016,-0.02,-0.109,-0.073,-0.057,0.29100000000000004
AMD2016q3,1.0,0.315,-5.0,-1.03,-1.341,0.763,5.0,-0.815,-4.931,0.0,-5.0,-0.047,0.0,0.09,0.127,-0.068,-0.134,-0.18899999999999997,-0.046,0.273,-1.0,-1.932
AME2016q3,1.0,-0.024,0.051,5.0,-0.106,-0.013999999999999999,-0.08199999999999999,-0.067,-0.086,-0.004,-0.054000000000000006,0.006999999999999999,-0.049,0.003,-0.006,0.008,0.001,-0.001,-0.002,-0.033,0.024,0.005
AMED2016q3,1.0,-0.106,-0.977,1.126,-0.536,0.027000000000000003,-0.218,-0.031,-0.156,-0.128,0.069,-0.037000000000000005,-0.018000000000000002,0.015,0.078,-0.04,-0.027999999999999997,-0.003,0.068,0.002,0.044000000000000004,0.043
AMGN2016q3,1.0,0.325,-1.255,2.636,-0.006,-0.022000000000000002,0.062,0.031,0.09699999999999999,0.038,0.079,0.006,-0.037000000000000005,0.035,0.067,-0.027000000000000003,0.045,0.09300000000000001,0.035,0.022000000000000002,-0.094,0.021
AMGN2016q4,0.0,-0.07,-4.646,-0.488,0.165,0.039,-0.017,0.024,-0.055999999999999994,0.009000000000000001,-0.040999999999999995,0.01,0.064,-0.006999999999999999,0.004,0.063,0.008,-0.011000000000000001,-0.006999999999999999,0.027000000000000003,-0.08199999999999999,-0.028999999999999998
AMKR2016q3,0.0,0.10099999999999999,-1.587,-0.276,0.617,0.11,2.753,0.625,5.0,0.031,5.0,-0.002,0.021,0.028999999999999998,0.091,0.037000000000000005,0.018000000000000002,0.005,0.08800000000000001,0.184,-0.223,0.055
AMT2016q3,0.0,0.292,-1.436,-0.821,-0.10800000000000001,0.069,0.107,0.042,0.21100000000000002,0.05,0.41,-0.012,-0.048,-0.003,0.038,-0.08199999999999999,-0.001,0.002,-0.04,0.05,-0.226,-0.01
AN2016q3,1.0,0.13699999999999998,5.0,5.0,5.0,0.028999999999999998,-0.033,-0.006,-0.045,-0.019,-0.042,0.013000000000000001,0.01,-0.01,-0.052000000000000005,-0.032,-0.021,0.018000000000000002,-0.035,0.023,-0.0,0.028999999999999998
AN2016q4,0.0,0.042,-0.985,-0.7490000000000001,-0.852,-0.013000000000000001,0.08,-0.033,0.073,0.055,0.075,0.013000000000000001,-0.012,0.039,0.066,0.08,0.038,-0.09,0.31,-0.016,0.09,0.04
AOS2016q3,1.0,-0.063,-1.2209999999999999,0.955,-0.156,0.045,-0.040999999999999995,-0.001,-0.046,0.105,-0.045,0.015,0.028999999999999998,0.057,0.04,0.10800000000000001,0.09,0.198,0.047,0.025,-0.013999999999999999,0.03
APC2016q3,1.0,1.855,-1.75,-5.0,-0.361,0.064,1.389,-0.055,0.08900000000000001,0.013999999999999999,0.19899999999999998,-0.039,0.187,0.031,0.8420000000000001,0.16,0.002,-0.035,0.061,-0.011000000000000001,5.0,0.11699999999999999
APD2017q1,0.0,-0.563,-3.5660000000000003,-0.046,-0.342,-0.201,-0.4,-0.307,-0.42,-0.095,-0.239,-0.09300000000000001,-0.252,-0.11599999999999999,-0.17800000000000002,-0.10800000000000001,-0.19899999999999998,-0.331,-0.213,-0.23600000000000002,-0.212,0.012
APH2016q3,1.0,0.075,-1.4509999999999998,4.088,0.19399999999999998,0.045,0.087,0.08,0.09300000000000001,0.006,0.086,0.036000000000000004,0.039,0.043,0.078,0.376,0.038,-0.083,0.049,0.057,5.0,0.049
ARNC2016q3,1.0,-0.034,0.43,-1.743,-0.078,0.0,-0.17300000000000001,-0.077,0.009000000000000001,0.031,0.23,0.006999999999999999,-0.038,0.036000000000000004,0.158,0.002,0.079,0.14800000000000002,0.021,-0.015,-0.002,-0.045
ARRS2016q3,1.0,0.185,3.075,0.919,0.10800000000000001,-0.002,1.735,-0.004,2.989,0.052000000000000005,-0.428,-0.042,0.067,0.015,0.068,0.039,0.012,-0.009000000000000001,0.037000000000000005,-0.003,-0.122,0.02
ARW2016q3,1.0,-0.225,-4.377,0.228,-0.8320000000000001,-0.002,-0.111,-0.032,-0.125,-0.046,-0.12300000000000001,0.018000000000000002,-0.017,0.015,0.017,0.012,0.019,0.033,0.036000000000000004,-0.006,-0.305,0.006999999999999999
ARW2016q4,1.0,0.39,-0.444,-0.444,5.0,0.08800000000000001,0.28300000000000003,0.065,0.33799999999999997,0.045,0.397,0.008,0.016,0.081,0.122,0.21100000000000002,0.124,-0.003,0.141,0.085,0.213,-0.003
ATHN2016q3,0.0,-0.032,-1.3230000000000002,0.513,-0.268,-0.006,-5.0,0.09699999999999999,-5.0,-0.132,-5.0,0.015,-0.057999999999999996,0.031,0.043,0.025,0.001,-0.013000000000000001,0.08199999999999999,0.055999999999999994,0.001,0.061
ATHN2016q4,0.0,0.134,5.0,-0.355,-0.13699999999999998,1.141,-0.182,-0.613,-0.168,-0.17600000000000002,-0.297,0.045,-0.191,0.03,0.071,0.053,0.002,-0.013000000000000001,0.068,0.040999999999999995,0.259,0.055999999999999994
ATR2016q3,0.0,0.19699999999999998,-0.728,0.057999999999999996,0.594,-0.023,-0.121,-0.09300000000000001,-0.111,-0.049,-0.10099999999999999,0.002,-0.098,0.013999999999999999,0.028999999999999998,0.006999999999999999,0.006999999999999999,0.006999999999999999,-0.051,-0.049,0.19399999999999998,0.022000000000000002
AVGO2017q1,1.0,0.142,1.459,-5.0,0.001,0.08800000000000001,0.32799999999999996,-0.078,0.136,0.047,-1.3780000000000001,0.055,-0.10300000000000001,-0.006999999999999999,0.032,-0.311,-0.016,0.027999999999999997,-0.107,0.001,-1.0,0.006999999999999999
AVT2017q1,1.0,0.16,0.828,0.139,-0.998,-0.696,-0.609,-0.639,-0.6809999999999999,-0.214,-0.289,-0.231,-0.6609999999999999,-0.017,0.077,-0.305,-0.045,0.9490000000000001,-0.42200000000000004,-0.69,-0.915,0.021
AVT2017q2,0.0,0.062,2.591,5.0,-5.0,0.011000000000000001,-0.052000000000000005,0.11599999999999999,-0.32299999999999995,-0.018000000000000002,0.499,0.19899999999999998,0.182,0.2,0.142,0.401,0.366,0.29600000000000004,0.042,0.024,1.517,-0.016
AVY2016q3,1.0,-0.124,-1.746,5.0,-0.327,-0.015,-0.107,-0.038,0.289,-0.045,0.114,0.08,0.004,0.071,0.037000000000000005,0.29100000000000004,0.066,-0.26,0.04,-0.021,1.953,0.09
AWI2016q3,1.0,0.434,-0.9159999999999999,-1.469,4.5,0.011000000000000001,0.635,0.19899999999999998,1.084,-0.28,3.178,0.006,-0.002,0.021,0.099,0.036000000000000004,-0.013999999999999999,-0.009000000000000001,0.013000000000000001,0.066,0.75,0.28
