ticker,name,marketCap,ipoyear,sector,industry,link,exchange,Country,spy,qqq,dow
BKU,"BankUnited, Inc.",3493322426,2011,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bku,NYSE,USA,,,
LNCE,"Snyder&#39;s-Lance, Inc.",3493270044,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/lnce,nasdaq,USA,,,
SWX,"Southwest Gas Holdings, Inc.",3488962793,n/a,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/swx,NYSE,USA,,,
HAIN,"The Hain Celestial Group, Inc.",3487338080,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/hain,nasdaq,USA,,,
TEP,"Tallgrass Energy Partners, LP",3482813559,2013,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/tep,NYSE,USA,,,
SWFT,Swift Transportation Company,3473304267,2010,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/swft,NYSE,USA,,,
SBGI,"Sinclair Broadcast Group, Inc.",3471950551,1995,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/sbgi,nasdaq,USA,,,
TKR,Timken Company (The),3470709059,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/tkr,NYSE,USA,,,
ILG,"ILG, Inc",3468555515,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/ilg,nasdaq,USA,,,
HOMB,"Home BancShares, Inc.",3462685631,2006,Finance,Major Banks,http://www.nasdaq.com/symbol/homb,nasdaq,USA,,,
BOH,Bank of Hawaii Corporation,3460155017,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/boh,NYSE,USA,,,
