Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange
IBIO,"iBio, Inc.",0.3699,32964936.85,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ibio,AMEX
IEC,IEC Electronics Corp.,3.58,36933510.34,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/iec,AMEX
IMUC,"ImmunoCellular Therapeutics, Ltd.",0.9,3117757.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/imuc,AMEX
IMUC.WS,"ImmunoCellular Therapeutics, Ltd.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/imuc.ws,AMEX
IMH,"Impac Mortgage Holdings, Inc.",15.51,323888257.4,n/a,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/imh,AMEX
IOT,"Income Opportunity Realty Investors, Inc.",9.3,38764390.2,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/iot,AMEX
IRT,"Independence Realty Trust, Inc.",9.97,689183039.6,n/a,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/irt,AMEX
IGC,India Globalization Capital Inc.,0.555,13471330.19,n/a,n/a,Consumer Non-Durables,Electronic Components,http://www.nasdaq.com/symbol/igc,AMEX
INFU,"InfuSystems Holdings, Inc.",1.7,38684698.5,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/infu,AMEX
IHT,InnSuites Hospitality Trust,1.94,18969298.66,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/iht,AMEX
IFMI,"Institutional Financial Markets, Inc.",1.16,14729644.04,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ifmi,AMEX
